,Date,Home,Home_id,Away,Away_id
122,2021-04-09,Atlanta Hawks,1610612737,Chicago Bulls,1610612741
123,2021-04-09,New York Knicks,1610612752,Memphis Grizzlies,1610612763
124,2021-04-09,Golden State Warriors,1610612744,Washington Wizards,1610612764
125,2021-04-09,Milwaukee Bucks,1610612749,Charlotte Hornets,1610612766
126,2021-04-09,New Orleans Pelicans,1610612740,Philadelphia 76ers,1610612755
127,2021-04-09,Orlando Magic,1610612753,Indiana Pacers,1610612754
128,2021-04-09,Boston Celtics,1610612738,Minnesota Timberwolves,1610612750
129,2021-04-09,Los Angeles Clippers,1610612746,Houston Rockets,1610612745
130,2021-04-09,Denver Nuggets,1610612743,San Antonio Spurs,1610612759
131,2021-04-09,Cleveland Cavaliers,1610612739,Toronto Raptors,1610612761
132,2021-04-10,Brooklyn Nets,1610612751,Los Angeles Lakers,1610612747
133,2021-04-10,Oklahoma City Thunder,1610612760,Philadelphia 76ers,1610612755
134,2021-04-10,Utah Jazz,1610612762,Sacramento Kings,1610612758
135,2021-04-10,Portland Trail Blazers,1610612757,Detroit Pistons,1610612765
136,2021-04-10,Phoenix Suns,1610612756,Washington Wizards,1610612764
137,2021-04-10,Golden State Warriors,1610612744,Houston Rockets,1610612745
138,2021-04-11,Portland Trail Blazers,1610612757,Miami Heat,1610612748
139,2021-04-11,Dallas Mavericks,1610612742,San Antonio Spurs,1610612759
140,2021-04-11,Minnesota Timberwolves,1610612750,Chicago Bulls,1610612741
141,2021-04-11,Cleveland Cavaliers,1610612739,New Orleans Pelicans,1610612740
142,2021-04-11,New York Knicks,1610612752,Toronto Raptors,1610612761
143,2021-04-11,Orlando Magic,1610612753,Milwaukee Bucks,1610612749
144,2021-04-11,Denver Nuggets,1610612743,Boston Celtics,1610612738
145,2021-04-11,Memphis Grizzlies,1610612763,Indiana Pacers,1610612754
146,2021-04-11,Los Angeles Clippers,1610612746,Detroit Pistons,1610612765
147,2021-04-11,Charlotte Hornets,1610612766,Atlanta Hawks,1610612737
148,2021-04-12,New York Knicks,1610612752,Los Angeles Lakers,1610612747
149,2021-04-12,Phoenix Suns,1610612756,Houston Rockets,1610612745
150,2021-04-12,Memphis Grizzlies,1610612763,Chicago Bulls,1610612741
151,2021-04-12,Golden State Warriors,1610612744,Denver Nuggets,1610612743
152,2021-04-12,Orlando Magic,1610612753,San Antonio Spurs,1610612759
153,2021-04-12,Minnesota Timberwolves,1610612750,Brooklyn Nets,1610612751
154,2021-04-12,New Orleans Pelicans,1610612740,Sacramento Kings,1610612758
155,2021-04-12,Utah Jazz,1610612762,Washington Wizards,1610612764
156,2021-04-12,Dallas Mavericks,1610612742,Philadelphia 76ers,1610612755
157,2021-04-13,Portland Trail Blazers,1610612757,Boston Celtics,1610612738
158,2021-04-13,Indiana Pacers,1610612754,Los Angeles Clippers,1610612746
159,2021-04-13,Phoenix Suns,1610612756,Miami Heat,1610612748
160,2021-04-13,Toronto Raptors,1610612761,Atlanta Hawks,1610612737
161,2021-04-13,Charlotte Hornets,1610612766,Los Angeles Lakers,1610612747
162,2021-04-13,Utah Jazz,1610612762,Oklahoma City Thunder,1610612760
163,2021-04-14,Detroit Pistons,1610612765,Los Angeles Clippers,1610612746
164,2021-04-14,Toronto Raptors,1610612761,San Antonio Spurs,1610612759
165,2021-04-14,Charlotte Hornets,1610612766,Cleveland Cavaliers,1610612739
166,2021-04-14,New Orleans Pelicans,1610612740,New York Knicks,1610612752
167,2021-04-14,Denver Nuggets,1610612743,Miami Heat,1610612748
168,2021-04-14,Memphis Grizzlies,1610612763,Dallas Mavericks,1610612742
169,2021-04-14,Minnesota Timberwolves,1610612750,Milwaukee Bucks,1610612749
170,2021-04-14,Chicago Bulls,1610612741,Orlando Magic,1610612753
171,2021-04-14,Oklahoma City Thunder,1610612760,Golden State Warriors,1610612744
172,2021-04-14,Houston Rockets,1610612745,Indiana Pacers,1610612754
173,2021-04-14,Sacramento Kings,1610612758,Washington Wizards,1610612764
174,2021-04-14,Philadelphia 76ers,1610612755,Brooklyn Nets,1610612751
175,2021-04-15,Cleveland Cavaliers,1610612739,Golden State Warriors,1610612744
176,2021-04-15,Atlanta Hawks,1610612737,Milwaukee Bucks,1610612749
177,2021-04-15,Los Angeles Lakers,1610612747,Boston Celtics,1610612738
178,2021-04-15,Phoenix Suns,1610612756,Sacramento Kings,1610612758
179,2021-04-16,Utah Jazz,1610612762,Indiana Pacers,1610612754
180,2021-04-16,Washington Wizards,1610612764,New Orleans Pelicans,1610612740
181,2021-04-16,San Antonio Spurs,1610612759,Portland Trail Blazers,1610612757
182,2021-04-16,Brooklyn Nets,1610612751,Charlotte Hornets,1610612766
183,2021-04-16,Toronto Raptors,1610612761,Orlando Magic,1610612753
184,2021-04-16,Philadelphia 76ers,1610612755,Los Angeles Clippers,1610612746
185,2021-04-16,Dallas Mavericks,1610612742,New York Knicks,1610612752
186,2021-04-16,Minnesota Timberwolves,1610612750,Miami Heat,1610612748
187,2021-04-16,Detroit Pistons,1610612765,Oklahoma City Thunder,1610612760
188,2021-04-16,Chicago Bulls,1610612741,Memphis Grizzlies,1610612763
189,2021-04-16,Houston Rockets,1610612745,Denver Nuggets,1610612743
190,2021-04-17,Los Angeles Lakers,1610612747,Utah Jazz,1610612762
191,2021-04-17,Chicago Bulls,1610612741,Cleveland Cavaliers,1610612739
192,2021-04-17,Boston Celtics,1610612738,Golden State Warriors,1610612744
193,2021-04-17,Washington Wizards,1610612764,Detroit Pistons,1610612765
194,2021-04-17,Milwaukee Bucks,1610612749,Memphis Grizzlies,1610612763
195,2021-04-17,Phoenix Suns,1610612756,San Antonio Spurs,1610612759
196,2021-04-18,Atlanta Hawks,1610612737,Indiana Pacers,1610612754
197,2021-04-18,Los Angeles Clippers,1610612746,Minnesota Timberwolves,1610612750
198,2021-04-18,Miami Heat,1610612748,Brooklyn Nets,1610612751
199,2021-04-18,New York Knicks,1610612752,New Orleans Pelicans,1610612740
200,2021-04-18,Dallas Mavericks,1610612742,Sacramento Kings,1610612758
201,2021-04-18,Toronto Raptors,1610612761,Oklahoma City Thunder,1610612760
202,2021-04-18,Orlando Magic,1610612753,Houston Rockets,1610612745
203,2021-04-18,Charlotte Hornets,1610612766,Portland Trail Blazers,1610612757
