,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,PTS_away,HOME_TEAM_WINS
293,2014-12-07,1610612747,1610612740,2014,1610612747,87.0,104.0,0
294,2014-12-07,1610612752,1610612757,2014,1610612752,99.0,103.0,0
295,2014-12-07,1610612742,1610612749,2014,1610612742,125.0,102.0,1
296,2014-12-07,1610612765,1610612760,2014,1610612765,94.0,96.0,0
297,2014-12-07,1610612763,1610612748,2014,1610612763,103.0,87.0,1
298,2014-12-07,1610612737,1610612743,2014,1610612737,96.0,84.0,1
299,2014-12-07,1610612738,1610612764,2014,1610612738,101.0,93.0,1
300,2014-12-08,1610612746,1610612756,2014,1610612746,121.0,120.0,1
301,2014-12-08,1610612758,1610612762,2014,1610612758,101.0,92.0,1
302,2014-12-08,1610612750,1610612744,2014,1610612750,86.0,102.0,0
303,2014-12-08,1610612761,1610612743,2014,1610612761,112.0,107.0,1
304,2014-12-08,1610612751,1610612739,2014,1610612751,88.0,110.0,0
305,2014-12-08,1610612764,1610612738,2014,1610612764,133.0,132.0,1
306,2014-12-08,1610612754,1610612737,2014,1610612754,92.0,108.0,0
307,2014-12-09,1610612747,1610612758,2014,1610612747,98.0,95.0,1
308,2014-12-09,1610612762,1610612759,2014,1610612762,100.0,96.0,1
309,2014-12-09,1610612756,1610612748,2014,1610612756,97.0,103.0,0
310,2014-12-09,1610612760,1610612749,2014,1610612760,114.0,101.0,1
311,2014-12-09,1610612740,1610612752,2014,1610612740,104.0,93.0,1
312,2014-12-09,1610612763,1610612742,2014,1610612763,114.0,105.0,1
313,2014-12-09,1610612765,1610612757,2014,1610612765,86.0,98.0,0
314,2014-12-09,1610612739,1610612761,2014,1610612739,105.0,101.0,1
315,2014-12-10,1610612743,1610612748,2014,1610612743,102.0,82.0,1
316,2014-12-10,1610612744,1610612745,2014,1610612744,105.0,93.0,1
317,2014-12-10,1610612759,1610612752,2014,1610612759,109.0,95.0,1
318,2014-12-10,1610612742,1610612740,2014,1610612742,112.0,107.0,1
319,2014-12-10,1610612750,1610612757,2014,1610612750,90.0,82.0,1
320,2014-12-10,1610612741,1610612751,2014,1610612741,105.0,80.0,1
321,2014-12-10,1610612737,1610612755,2014,1610612737,95.0,79.0,1
322,2014-12-10,1610612753,1610612764,2014,1610612753,89.0,91.0,0
323,2014-12-10,1610612754,1610612746,2014,1610612754,96.0,103.0,0
324,2014-12-10,1610612766,1610612738,2014,1610612766,96.0,87.0,1
325,2014-12-11,1610612758,1610612745,2014,1610612758,109.0,113.0,0
326,2014-12-11,1610612760,1610612739,2014,1610612760,103.0,94.0,1
327,2014-12-12,1610612759,1610612747,2014,1610612759,110.0,112.0,0
328,2014-12-12,1610612762,1610612748,2014,1610612762,95.0,100.0,0
329,2014-12-12,1610612756,1610612765,2014,1610612756,103.0,105.0,0
330,2014-12-12,1610612740,1610612739,2014,1610612740,119.0,114.0,1
331,2014-12-12,1610612750,1610612760,2014,1610612750,92.0,111.0,0
332,2014-12-12,1610612763,1610612766,2014,1610612763,113.0,107.0,1
333,2014-12-12,1610612761,1610612754,2014,1610612761,106.0,94.0,1
334,2014-12-12,1610612751,1610612755,2014,1610612751,88.0,70.0,1
335,2014-12-12,1610612738,1610612752,2014,1610612738,95.0,101.0,0
336,2014-12-12,1610612737,1610612753,2014,1610612737,87.0,81.0,1
337,2014-12-12,1610612764,1610612746,2014,1610612764,104.0,96.0,1
338,2014-12-12,1610612741,1610612757,2014,1610612741,115.0,106.0,1
339,2014-12-13,1610612758,1610612765,2014,1610612758,90.0,95.0,0
340,2014-12-13,1610612745,1610612743,2014,1610612745,108.0,96.0,1
341,2014-12-13,1610612755,1610612763,2014,1610612755,115.0,120.0,0
342,2014-12-13,1610612749,1610612746,2014,1610612749,111.0,106.0,1
343,2014-12-13,1610612753,1610612737,2014,1610612753,100.0,99.0,1
344,2014-12-13,1610612754,1610612757,2014,1610612754,85.0,95.0,0
345,2014-12-13,1610612766,1610612751,2014,1610612766,87.0,114.0,0
346,2014-12-13,1610612742,1610612744,2014,1610612742,98.0,105.0,0
347,2014-12-14,1610612743,1610612759,2014,1610612743,91.0,99.0,0
